experiment_type,article,expected_summary,summary_zero_shot,rouge1_zero_shot,rouge2_zero_shot,rougeL_zero_shot,bert_f1_zero_shot,summary_one_shot,rouge1_one_shot,rouge2_one_shot,rougeL_one_shot,bert_f1_one_shot,summary_two_shot,rouge1_two_shot,rouge2_two_shot,rougeL_two_shot,bert_f1_two_shot
ET1,"You should have four strands of hemp. For this type of knot, the two center strands will remain together, while the outer strands will be moving around.",Separate the strands.,"To create this knot, use four strands of hemp, keeping the two center strands together while the outer strands move around them.",0.16,0.0,0.16,0.5543577671051025,"""Use four strands of hemp, keeping the center strands together while the outer strands move.""",0.2222222222222222,0.0,0.2222222222222222,0.5898687243461609,"""Use four strands of hemp, keeping the two center strands together as the outer strands move.""",0.21052631578947367,0.0,0.21052631578947367,0.5819942951202393
ET1,"If you’re unable to get rid of your pimples no matter what you try, you may need prescription medication to treat the underlying issues causing your acne. Ask your doctor if prescription medication is right for you. Some prescription acne medication can have serious side effects such as depression and thoughts of suicide. Talk to your doctor about what medication is right for you. They may prescribe a medicated topical cream or a stronger medication that you ingest orally to treat your acne.",Ask your doctor about acne medication if the problem persists.,"If over-the-counter treatments are ineffective for your acne, consult your doctor about the possibility of prescription medication. Some of these medications can have serious side effects, including depression and suicidal thoughts. Your doctor can advise on the appropriate treatment, which may include topical creams or oral medications.",0.23728813559322035,0.07017543859649122,0.1694915254237288,0.6604845523834229,"""Consult your doctor about prescription medication for persistent acne treatment, as some can have serious side effects.""",0.4444444444444445,0.16,0.37037037037037035,0.7570835947990417,"""Consult your doctor for prescription medication if over-the-counter treatments for acne fail. Be aware of potential serious side effects.""",0.3870967741935483,0.13793103448275865,0.3225806451612903,0.7323024272918701
ET1,"The Registry contains two basic elements: keys and values. If you know the key you want to edit, press Control+f to open the Find dialog box.  When you find the key, double-click it to edit the value data. Some edits may require a Windows restart to take effect.",Edit the Registry. Type the key name and click Find Next. Edit the key's value data. Click OK to save your edits.,"The Registry consists of keys and values. To edit a specific key, use Control+f to find it, then double-click to modify the value data. Some changes may necessitate a Windows restart to take effect.",0.4067796610169491,0.07017543859649122,0.3050847457627119,0.6744270324707031,"""The Registry has keys and values. Use Control+f to find a key, then double-click to edit its value. A restart may be needed for changes to apply.""",0.38461538461538464,0.04,0.34615384615384615,0.6810915470123291,"""The Registry consists of keys and values; use Control+f to find and edit a key, and some changes may need a restart.""",0.391304347826087,0.045454545454545456,0.30434782608695654,0.6609131693840027
ET1,"Consider using a fountain pen and writing in cursive (italicized writing) to lend to the vintage look. Write your message directly on the cardstock and allow the ink to dry before attaching it to the gift. Once you have the basis for your tag, you can decide if more (or less) is better. Use your hole punch, glue and ribbon to attach any additional embellishments.",Address the tag. Attach any other adornments if desired.,"To achieve a vintage look for your gift tag, use a fountain pen to write in cursive on cardstock. Allow the ink to dry before attaching it to the gift. After creating the initial tag, you can choose to add more or fewer embellishments using a hole punch, glue, and ribbon.",0.1,0.0,0.06666666666666667,0.6001715660095215,"""Use a fountain pen to write in cursive on cardstock for a vintage gift tag. Allow the ink to dry, then attach it with embellishments using a hole punch, glue, and ribbon.""",0.14634146341463417,0.0,0.0975609756097561,0.6061086058616638,"""Use a fountain pen to write in cursive on cardstock for a vintage gift tag. Allow the ink to dry before attaching it, and consider adding embellishments with a hole punch, glue, and ribbon.""",0.13953488372093023,0.0,0.09302325581395347,0.6021698117256165
ET1,"Paints that you would use on the styrofoam, like acrylic, dry very quickly and should be ready for a second coat after roughly 10 minutes. Styrofoam is very porous, so check the styrofoam after the paint dries to see if it needs another layer of paint to cover up any white specks. Use your finger to touch the styrofoam to see if the paint is still wet.",Wait 10-20 minutes for the paint to dry.,"Acrylic paints dry quickly on styrofoam, typically within about 10 minutes, allowing for a second coat soon after. Due to the porous nature of styrofoam, it's important to check for any white specks that may need additional paint coverage. You can test if the paint is still wet",0.24137931034482757,0.03571428571428571,0.1724137931034483,0.5913010239601135,"""Use quick-drying acrylic paints on styrofoam, allowing for a second coat after about 10 minutes. Check for white specks and touch to test if the paint is dry.""",0.368421052631579,0.05555555555555556,0.31578947368421056,0.6689316630363464,"""Use acrylic paint on styrofoam, which dries quickly. Check for white spots after drying and apply a second coat if needed.""",0.13333333333333333,0.0,0.06666666666666667,0.6049259901046753
ET1,"Place the raw edge of the ribbon down and squish the ribbon. The wire in the ribbon keeps the ribbon in place so fuss all you want until you get the look you like. Once you’re happy, lift up the petals and dab some glue at your desired points to set your look.",Fold the ribbon into place.,"To shape the ribbon, press down its raw edge and adjust it as needed, using the wire to hold it in place. Once satisfied with the appearance, lift the petals and apply glue at key points to secure the design.",0.13333333333333333,0.04651162790697674,0.13333333333333333,0.6773616671562195,"""Shape ribbon petals by adjusting and gluing them in place.""",0.26666666666666666,0.0,0.26666666666666666,0.749232292175293,"""Shape the ribbon by adjusting it and use glue to set it in place.""",0.3157894736842105,0.11764705882352941,0.3157894736842105,0.7965795397758484
ET1,"Lift the lid and place your phone inside. Certain UV-C devices are better designed for this than others When the blue indicator light comes on, after about four minutes, the cleaning is complete When your phone is sufficiently charged, disconnect the phone charging cord and remove your phone from the unit. You now have a germ-free phone.",Plug the UV-C unit into a wall outlet. Plug in your charging cord if you wish to charge your phone while it is cleaning. Close the lid and sanitizing will begin automatically. Lift the lid.,"To clean your phone, place it in a UV-C device and wait for about four minutes until the blue indicator light signals that the cleaning is done. Once your phone is charged, disconnect it and remove it from the unit, resulting in a germ-free phone.",0.40963855421686746,0.04938271604938271,0.16867469879518074,0.6080847978591919,"""Use a UV-C device to disinfect your phone. After four minutes, remove your phone to ensure it's germ-free.""",0.2807017543859649,0.07272727272727272,0.2105263157894737,0.6113836765289307,"""Place your phone in the UV-C device, wait for the blue light to indicate cleaning is complete, then remove your germ-free phone.""",0.3666666666666667,0.10344827586206898,0.2,0.6337754130363464
ET1,"Play a song or a video on your Mac to see if sound comes from your Apple TV's speakers; if so, your Apple TV's sound is set up. If you still only hear sound coming from your Mac, you may need to restart both your Mac and your Apple TV before trying again.",Test your TV's speakers.,"To check if your Apple TV's sound is working, play a song or video on your Mac. If sound comes from the Apple TV, it is set up correctly. If not, try restarting both your Mac and Apple TV and test again.",0.16666666666666666,0.04347826086956521,0.125,0.5868372321128845,"""Check sound output from your Apple TV by playing audio on your Mac. Restart both devices if sound is still only coming from your Mac.""",0.13333333333333333,0.0,0.13333333333333333,0.595079779624939,"""Check the sound output from your Apple TV by playing a song or video on your Mac. Restart both devices if sound only comes from the Mac.""",0.125,0.0,0.125,0.6136676073074341
ET1,You will need to use a computer for this process. You can do this by clicking the box on the far left side of the email. This is above your inbox's contents and on the right side of your Gmail toolbar. Gmail will automatically add your sender's email address to this form.   Any incoming emails from your filtered sender will now be deleted automatically.,"Open Gmail. Select an email you wish to filter. Click the ""More"" option. Click ""Filter messages like these"". Click ""Create filter with this search"". Click the checkbox next to ""Delete it"". Click ""Create Filter"".","To automatically delete incoming emails from a specific sender in Gmail, click the box next to their email in your inbox. This will add the sender's address to a filter form, and future emails from that sender will be deleted automatically.",0.2894736842105263,0.05405405405405405,0.18421052631578944,0.5772868394851685,"""Use a computer to filter and automatically delete incoming emails from a specific sender in Gmail by clicking the box in the toolbar.""",0.28070175438596484,0.07272727272727272,0.1754385964912281,0.6057817339897156,"""Use a computer to filter and automatically delete emails from a specific sender in Gmail.""",0.20408163265306123,0.0425531914893617,0.12244897959183675,0.5750765800476074
ET1,"Your chai mix is good to use for up to 6 months. Keep it in your pantry in an airtight container, like a jar or a sealable bag, for maximum freshness. Remember to label the container so you know when to use the mix by.",Store the mix in an airtight container until you’re ready to drink it.,"Store your chai mix in an airtight container in the pantry for up to 6 months, and label it to track its freshness.",0.4864864864864865,0.2285714285714286,0.4324324324324324,0.7198442220687866,"""Store chai mix in an airtight container for up to 6 months. Label the container for freshness.""",0.5161290322580646,0.27586206896551724,0.45161290322580644,0.6946477293968201,"""Store your chai mix in an airtight container for up to 6 months and label it for freshness.""",0.5,0.26666666666666666,0.5,0.7229233980178833
ET1,"The best kind of container is one created from sturdy, clear plastic with an even, not too heavy weight. Even if you just purchased the container, make sure it’s totally clean before you add your ice and drinks. Use hot, soapy water, rinse well and then dry with a clean towel. Keep in mind that you will most likely be filling this container with ice too.",Find or purchase a large plastic container. Clean out the plastic container before using. Hold a trial run by placing cans or bottles in the container so you can estimate how much it could possibly hold.,"The ideal container for holding drinks and ice is made of sturdy, clear plastic and has a manageable weight. Before use, ensure the container is thoroughly cleaned with hot, soapy water, rinsed well, and dried with a clean towel.",0.29333333333333333,0.05479452054794521,0.16,0.6439951062202454,"""Choose a sturdy, clear plastic container for ice and drinks. Clean it thoroughly with hot, soapy water before use.""",0.2545454545454545,0.07547169811320754,0.2181818181818182,0.6736931204795837,"""Choose a sturdy, clear plastic container for ice and drinks, ensuring it is clean before use.""",0.2692307692307693,0.08,0.23076923076923078,0.6773265600204468
ET1,"If you have stage fright, just find a dark place in the back of the location to look whenever you get nervous. That way you won't be unnerved by your cheering fans. You may want to rewrite or redirect songs as your band/sound evolves. This is perfectly okay. It gives you something new and exciting to play, and it gives your fans something to look forward to. Also, try not to get too confident and cocky and don't practice. If you want to have a good band, remember; practice a lot.","Forget about being nervous, just have fun. Above all - continue to practice!","To manage stage fright, focus on a dark spot at the back of the venue to avoid being distracted by the audience. It's fine to update or change your songs as your band evolves, creating fresh material for both you and your fans. However, remain humble and avoid overconfidence; consistent practice is essential",0.0909090909090909,0.0,0.0909090909090909,0.5843691229820251,"""To manage stage fright, focus on a dark spot in the venue. It's fine to evolve your songs for excitement. Stay humble and prioritize practice for a successful band.""",0.09523809523809522,0.0,0.09523809523809522,0.6299367547035217,"""Manage stage fright by focusing on a dark spot. Evolve your songs as your band progresses and prioritize regular practice.""",0.0625,0.0,0.0625,0.6193099021911621
ET1,"In a large bowl, add cold water and ice cubes so that it fills up to the rim. Use plastic or metal tongs to remove them from the rice cooker, one by one. Immediately place them in the ice bath. Allow the eggs to completely cool in the ice bath. You can test them out by handling them with your fingers. Serve them immediately or store them in the refrigerator.",Make an ice bath. Remove the eggs from the rice cooker. Serve or store them. Finished.,"To cool cooked eggs, fill a large bowl with cold water and ice cubes. Use tongs to transfer the eggs from the rice cooker to the ice bath and let them cool completely. They can be served immediately or stored in the refrigerator.",0.4067796610169491,0.2456140350877193,0.33898305084745767,0.6958142518997192,"""Cool boiled eggs in an ice bath and serve or refrigerate.""",0.4444444444444444,0.24,0.3703703703703703,0.725117027759552,"""Cool boiled eggs in an ice bath, then serve or refrigerate.""",0.4444444444444444,0.24,0.3703703703703703,0.735215961933136
ET1,"If your plant has been overfed, do not provide it more fertilizer until it appears healthy again (3 to 4 weeks). Allow time for your plant and its roots to recover from the strain of an overabundance of fertilizer. When the time comes to begin feeding your plant again, you can prevent many of the negative effects of overfertilization by using nitrogen-free fertilizer. Use only one quarter or one half of the recommended amount of fertilizer as directed on the package.",Avoid fertilizing your plant for several weeks. Choose a fertilizer without nitrogen.,"If your plant has been overfed, refrain from fertilizing for 3 to 4 weeks to allow it to recover. When you resume feeding, use nitrogen-free fertilizer and apply only a quarter to half of the recommended amount.",0.32,0.04166666666666667,0.19999999999999998,0.7307828664779663,"""After overfeeding a plant, avoid adding more fertilizer for 3 to 4 weeks. Allow the plant to recover, then use nitrogen-free fertilizer at a reduced rate.""",0.41025641025641024,0.0,0.2564102564102564,0.7334355711936951,"""Stop fertilizing an overfed plant for 3 to 4 weeks to allow recovery, then use a nitrogen-free fertilizer at half the recommended amount when feeding again.""",0.358974358974359,0.05405405405405406,0.30769230769230765,0.7267335057258606
ET1,"This app resembles a white bolt of lightning on a blue background. If you aren't signed into Messenger, type in your phone number, tap Continue, and enter your password. It's a house-shaped tab in the bottom-left corner of the screen. Older messages will be further down the page, so you may have to scroll down. The further up the page you scroll, the older the messages are. This will open it, allowing you to read it.",Open Facebook Messenger. Tap Home. Tap a conversation. Scroll up through your messages. Tap a message you want to read.,"The app, represented by a white lightning bolt on a blue background, requires you to sign in with your phone number and password if you're not already logged into Messenger. To access older messages, scroll down the page, as they are located further down. The house-shaped tab in the bottom-left corner allows",0.21333333333333335,0.0,0.10666666666666667,0.5563119649887085,"""To access messages on Messenger, sign in with your phone number and password, then scroll down to view older messages.""",0.3,0.0,0.15,0.6490452885627747,"""Sign into the Messenger app to read older messages by scrolling down.""",0.3125,0.06666666666666667,0.18749999999999997,0.6413270831108093
ET1,"The Calendar settings page will appear. This opens the ""New Internet Calendar Subscription"" dialog window. The copied URL will appear in the blank. You'll be asked if you'd like to add the calendar and subscribe to updates. Once added, you'll be able to see your Google Calendar updates in your Outlook calendar under ""My Calendars"" header in the left panel.  If you add or update an event the Google calendar, it can take anywhere from a few minutes to a few hours for it appear in Outlook.",Click Settings and sharing on the menu. Select Add Calendar and click From Internet. Right-click the typing area and select Paste. Click OK and then Yes to confirm.,"To add a Google Calendar to Outlook, go to the Calendar settings page and open the ""New Internet Calendar Subscription"" dialog. Paste the copied URL and confirm if you want to subscribe to updates. Once added, Google Calendar updates will appear under ""My Calendars"" in Outlook. Note that changes made",0.27848101265822783,0.0,0.17721518987341772,0.5750957131385803,"""Add a Google Calendar to Outlook by using the copied URL in the Calendar settings. Once subscribed, updates will sync, but may take a few minutes to a few hours to appear.""",0.19672131147540986,0.0,0.13114754098360656,0.5576220154762268,"""Add a Google Calendar subscription to Outlook. Updates may take a few minutes to a few hours to appear.""",0.125,0.0,0.125,0.5360754132270813
ET1,"This is the blue speech bubble icon in your dock. You can do so from the left side of your Messages program. As long as your messages haven't been deleted, you can review the conversation's history!",Open the Messages program. Select a conversation. Scroll up through the conversation's contents.,"You can access your conversation history in the Messages program by clicking the blue speech bubble icon in your dock, as long as the messages haven't been deleted.",0.23255813953488377,0.0975609756097561,0.18604651162790697,0.6550705432891846,"""Access conversation history in the Messages program by clicking the blue speech bubble icon in your dock.""",0.3225806451612903,0.13793103448275862,0.2580645161290323,0.6934305429458618,"""Access your Messages program to review conversation history.""",0.2727272727272727,0.1,0.2727272727272727,0.7449243664741516
ET1,"The aluminum here is soft and you’ll be able to puncture the can with ease. The metal closer to the bottom of the can is more difficult to punch due to its shape. If you’re right-handed, place the hole to the left of the tab so you can easily open in later. If you’re left-handed, punch the hole to the right of the tab.",Position the hole 1 in (2.5 cm) from the bottom of the can.,"The aluminum of the can is soft and easy to puncture, but the bottom is harder due to its shape. Right-handed individuals should create a hole to the left of the tab for easier opening, while left-handed individuals should make the hole to the right of the tab.",0.21875000000000003,0.12903225806451613,0.15625,0.5387763381004333,"""Puncture the soft aluminum can easily, but the bottom is tougher. For right-handed users, create a hole to the left of the tab; for left-handed users, to the right.""",0.3111111111111111,0.09302325581395349,0.2222222222222222,0.5751003623008728,"""Punch a hole in the soft aluminum can, positioning it based on your dominant hand for easier opening.""",0.31250000000000006,0.0,0.25,0.632499635219574
ET1,"Also called Plan B, emergency contraception consists of two pills containing levonorgestrel that are ingested as soon as possible after sexual intercourse. The sooner they are taken, the more effective they are at preventing pregnancy.  Emergency contraception is available at most pharmacies and from your healthcare provider. Emergency contraception should not be a replacement for regular birth control; it's a last resort to be take after unprotected sex.",Use emergency contraception.,"Emergency contraception, also known as Plan B, consists of two levonorgestrel pills taken as soon as possible after unprotected sexual intercourse to prevent pregnancy. It is most effective the sooner it is taken and is available at pharmacies and from healthcare providers. Emergency contraception should not be used as a substitute",0.1111111111111111,0.038461538461538464,0.07407407407407407,0.5503672361373901,"""Emergency contraception, also known as Plan B, involves taking two levonorgestrel pills as soon as possible after unprotected sex to prevent pregnancy. It is available at pharmacies and from healthcare providers but should not replace regular birth control.""",0.09756097560975609,0.05128205128205129,0.09756097560975609,0.5889495611190796,"""Emergency contraception, or Plan B, includes two levonorgestrel pills taken soon after unprotected sex to prevent pregnancy. It should not replace regular birth control.""",0.14814814814814814,0.08,0.14814814814814814,0.6295068860054016
ET1,"Place a medium skillet on the burner, and turn the heat to medium-low. Allow the pan to heat for about 5 minutes, so it’s fully preheated. Once the pan is preheated, it’s important to oil it so the eggs don’t stick. Spray the pan with nonstick cooking spray or add a pat of butter. If you’re using butter, let it melt completely before adding the eggs. It should take 1 to 3 minutes for the butter to melt completely.",Preheat the pan on the stove. Grease the pan.,"Preheat a medium skillet on medium-low heat for about 5 minutes. Once hot, oil the pan with nonstick spray or melted butter to prevent sticking, allowing the butter to melt completely, which takes 1 to 3 minutes before adding the eggs.",0.23529411764705882,0.04081632653061225,0.196078431372549,0.6332924962043762,"""Preheat a medium skillet on medium-low heat for 5 minutes. Oil the pan with nonstick spray or melted butter to prevent sticking before adding eggs.""",0.2285714285714286,0.06060606060606061,0.2285714285714286,0.6949002742767334,"""Preheat a medium skillet on medium-low for 5 minutes, then oil it with cooking spray or melted butter before adding eggs.""",0.1290322580645161,0.0,0.1290322580645161,0.6711918711662292
ET1,One: Aik  Two: Dou  Three: Teen  Four: Chaar  Five: Paanch  Six: Chhay  Seven: Saat  Eight: Aatth  Nine: Nau  Ten: Dus  Hundred: Sao  Thousand: Hazaar  Hundred Thousand: Laakh  Ten Million: Crore,Saying numbers.,"The text lists the numbers one to ten and larger numbers in Hindi, along with their English equivalents. It includes numbers up to ten million, showing their translations: one (Aik), two (Dou), three (Teen), four (Chaar), five (Paanch), six (Chhay",0.047619047619047616,0.0,0.047619047619047616,0.4265957176685333,"Summary: ""Numbers in Hindi: 1-Aik, 2-Dou, 3-Teen, 4-Chaar, 5-Paanch, 6-Chhay, 7-Saat, 8-Aatth, 9-Nau, 10-Dus,",0.07692307692307693,0.0,0.07692307692307693,0.36921000480651855,"""Counts from one to ten in English and Hindi, along with larger numbers like hundred, thousand, and crore.""",0.09999999999999999,0.0,0.09999999999999999,0.5102971792221069
ET1,"Tap the Settings app icon, which resembles a gear, in the App Drawer. You can also open Settings by swiping down from the top of the screen and tapping the gear icon near the top of the resulting drop-down menu. It's near the middle of the page. You'll find this in the ""T"" section of the list of installed apps. It's toward the bottom of the screen. It will turn teal, signifying that you will no longer receive notifications or prompts from Twitter.","Open your Android's Settings. Scroll down and tap Apps. Scroll down and tap Twitter. Tap Notifications. Tap the white ""Block all""  switch.","To access the Settings app, tap the gear icon in the App Drawer or swipe down from the top of the screen and select the gear icon in the drop-down menu. Once opened, locate the Twitter settings in the ""T"" section of installed apps. Tapping on it will turn it teal,",0.26666666666666666,0.027397260273972605,0.18666666666666668,0.5728639960289001,"""Open the Settings app by tapping the gear icon in the App Drawer or swiping down from the top of the screen. This app is located in the 'T' section and turns teal to indicate that Twitter notifications are disabled.""",0.2857142857142857,0.032786885245901634,0.253968253968254,0.5985153913497925,"""Open the Settings app to disable Twitter notifications.""",0.3870967741935483,0.0,0.3225806451612903,0.6475037336349487
ET1,"For example, choose to replace white bread with whole wheat or rye. Also, whole wheat pastas have improved greatly in quality since they were first introduced to the market. For instance, add barley to beef stew or make a whole grain pilaf with sliced almonds and dried fruit. Learn to cook with quinoa, spelt or couscous so that you can have a break from rice and pasta.",Avoid refined carbohydrates. Cook creatively with whole grains. Try something new.,"Replace white bread with whole wheat or rye, and consider the improved quality of whole wheat pastas. Incorporate barley into beef stew or create a whole grain pilaf with almonds and dried fruit. Explore cooking with quinoa, spelt, or couscous for variety beyond rice and pasta.",0.14035087719298245,0.07272727272727272,0.10526315789473684,0.6166738867759705,"""Replace white bread with whole wheat or rye, and try improved whole wheat pastas. Incorporate barley in beef stew and make a whole grain pilaf. Experiment with quinoa, spelt, or couscous for variety.""",0.18181818181818182,0.09523809523809523,0.13636363636363635,0.62863689661026,"""Replace white bread with whole wheat or rye and try whole wheat pasta. Incorporate grains like barley, quinoa, spelt, or couscous into your cooking for variety.""",0.27027027027027023,0.05714285714285714,0.16216216216216214,0.6232591867446899
